Position,Venue Space,Map Key,Position Index,Device ID,Technology,Model,Orientation,Driven By,Content Class,DMP Present,Countable Ad Position,Winter Status,Confidence,Source,Status,Defect Flag,Notes
Lawn 785 1,Lawn,785,1,001,Legacy,PHIL 48,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Total TV List,Location map",📄 Paper only,785 zone conflict,"Lawn crosswalk places 785 here. The map cluster list places 785 on the Walt / east plaza. The legacy allocation only balances if 785 is Lawn, so the crosswalk wins. Verify."
Lawn 785 2,Lawn,785,2,002,Legacy,PHIL 48,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Total TV List,Location map",📄 Paper only,785 zone conflict,"Lawn crosswalk places 785 here. The map cluster list places 785 on the Walt / east plaza. The legacy allocation only balances if 785 is Lawn, so the crosswalk wins. Verify."
Lawn TC2 1,Lawn,TC2,1,003,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn TC2 2,Lawn,TC2,2,004,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn TC3 1,Lawn,TC3,1,005,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn TC3 2,Lawn,TC3,2,006,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn TC5 1,Lawn,TC5,1,010,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn TC5 2,Lawn,TC5,2,011,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn TC6 1,Lawn,TC6,1,012,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn TC6 2,Lawn,TC6,2,013,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn TC7 1,Lawn,TC7,1,014,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn TC7 2,Lawn,TC7,2,015,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,,Indoor-rated hardware in an outdoor position. 0 C to +50 C. Part of the annual 22-unit winterization pull. Observe before Oct 15.
Lawn 795 1,Lawn,795,1,016,Legacy,PHIL 48,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Total TV List,Location map",📄 Paper only,,
Lawn 795 2,Lawn,795,2,017,Legacy,PHIL 48,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Total TV List,Location map",📄 Paper only,,
Ben Plaza FD4 1,Ben Franklin Plaza,FD4,1,018,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Ben Plaza FD4 2,Ben Franklin Plaza,FD4,2,019,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Ben Plaza UD2 1,Ben Franklin Plaza,UD2,1,020,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Ben Plaza UD2 2,Ben Franklin Plaza,UD2,2,021,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Ben Plaza TC8 1,Ben Franklin Plaza,TC8,1,022,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Ben Plaza TC8 2,Ben Franklin Plaza,TC8,2,023,Samsung OH,OH46B,Portrait,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,SAM 46 VERT on the Samsung sheet.
Ben Plaza BEN CON 1,Ben Franklin Plaza,BEN CON,1,025,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza BEN CON 2,Ben Franklin Plaza,BEN CON,2,026,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza BEN CON 3,Ben Franklin Plaza,BEN CON,3,027,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza BEN CON 4,Ben Franklin Plaza,BEN CON,4,028,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza BEN CON 5,Ben Franklin Plaza,BEN CON,5,029,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza BEN CON 6,Ben Franklin Plaza,BEN CON,6,030,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza BEN CON 7,Ben Franklin Plaza,BEN CON,7,031,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza BEN CON 8,Ben Franklin Plaza,BEN CON,8,032,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza BEN CON 9,Ben Franklin Plaza,BEN CON,9,033,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza BEN CON 10,Ben Franklin Plaza,BEN CON,10,034,Samsung OH,OH55A-S,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,ID gap,ID 024 unallocated immediately before this run.
Ben Plaza NBB 1,Ben Franklin Plaza,NBB,1,035,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Ben Plaza NBB 2,Ben Franklin Plaza,NBB,2,036,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Ben Plaza NBB 3,Ben Franklin Plaza,NBB,3,037,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Ben Plaza NBB 4,Ben Franklin Plaza,NBB,4,038,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Ben Plaza NBB 5,Ben Franklin Plaza,NBB,5,039,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Ben Plaza NBB 6,Ben Franklin Plaza,NBB,6,040,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Ben Plaza NBB 7,Ben Franklin Plaza,NBB,7,041,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Ben Plaza NBB 8,Ben Franklin Plaza,NBB,8,042,Samsung OH,OH46B,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,
Ben Plaza PJ2 1,Ben Franklin Plaza,PJ2,1,047,Videri Spark,Spark 5,Landscape,Videri cloud,Menu board,Not checked,Unknown,Unknown,🟡 Paper only,"Videri sheet,Total TV List",📄 Paper only,ID gap,"Source row duplicated in the Total TV List. Counted once. IDs 043-046 sit unallocated immediately before this run; the Videri sheet independently caps Ben Plaza Videri at 8, which rules out a second bank. Indoor-rated hardware in an outdoor position."
